Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Created,Resolved,Component/s,Labels,Custom field (Story Points),Custom field (Blocked),Custom field (Flagged),Custom field (Age),Sprint,Priority,Custom field (Epic Link),Outward issue link (Dependency),Inward issue link (Dependency)
[Gamma Squad] Sample work item 1299,AIOP-1299,10001299,Story,Done,AIOP,Perception & Parking SW Group,17/Feb/26 1:07 PM,9/Mar/26 1:07 PM,Gamma Squad,data-pipeline,2,,,,PMD_25PI4_Sprint8 [COMPLETED] + Sprint9 [COMPLETED] + Sprint10 [COMPLETED],Could (3),AIOP-170,,
[Gamma Squad] Sample work item 1300,AIOP-1300,10001300,Story,Done,AIOP,Perception & Parking SW Group,17/Feb/26 11:04 AM,10/Mar/26 11:04 AM,Gamma Squad,backend,5,Impediment,,,PMD_25PI4_Sprint8 [COMPLETED] + Sprint9 [COMPLETED] + Sprint10 [COMPLETED],Must (1),AIOP-149,AIOP-1218,
[Gamma Squad] Sample work item 1301,AIOP-1301,10001301,Task,Done,AIOP,Perception & Parking SW Group,19/Feb/26 2:19 PM,26/Feb/26 2:19 PM,Gamma Squad,,8,Impediment,,,PMD_25PI4_Sprint8 [COMPLETED] + Sprint9 [COMPLETED],Won't (4),AIOP-172,,
[Gamma Squad] Sample work item 1302,AIOP-1302,10001302,Story,Blocked,AIOP,Perception & Parking SW Group,19/Feb/26 1:43 PM,,Gamma Squad,frontend,2,,,81,PMD_25PI4_Sprint8 [ACTIVE],Could (3),AIOP-146,,
[Gamma Squad] Sample work item 1303,AIOP-1303,10001303,Bug,Done,AIOP,Perception & Parking SW Group,27/Feb/26 11:32 AM,18/Mar/26 11:32 AM,Gamma Squad,tech-debt,2,,,,PMD_25PI4_Sprint9 [COMPLETED] + Sprint10 [COMPLETED],Could (3),AIOP-168,,
[Gamma Squad] Sample work item 1304,AIOP-1304,10001304,Story,To Do,AIOP,Perception & Parking SW Group,24/Feb/26 3:50 PM,,Gamma Squad,data-pipeline,8,,,76,PMD_25PI4_Sprint9 [ACTIVE],Should (2),AIOP-184,,
[Gamma Squad] Sample work item 1305,AIOP-1305,10001305,Task,Done,AIOP,Perception & Parking SW Group,23/Feb/26 4:20 PM,11/Mar/26 4:20 PM,Gamma Squad,backend,5,,,,PMD_25PI4_Sprint9 [COMPLETED] + Sprint10 [COMPLETED],Won't (4),AIOP-141,,
[Gamma Squad] Sample work item 1306,AIOP-1306,10001306,Bug,Done,AIOP,Perception & Parking SW Group,26/Feb/26 5:18 PM,7/Mar/26 5:18 PM,Gamma Squad,infra,3,,,,PMD_25PI4_Sprint9 [COMPLETED],Could (3),AIOP-155,,
[Gamma Squad] Sample work item 1307,AIOP-1307,10001307,Bug,Blocked,AIOP,Perception & Parking SW Group,27/Feb/26 5:25 PM,,Gamma Squad,data-pipeline,,Impediment,Impediment,73,PMD_25PI4_Sprint9 [ACTIVE],Could (3),AIOP-114,,
[Gamma Squad] Sample work item 1308,AIOP-1308,10001308,Story,Blocked,AIOP,Perception & Parking SW Group,6/Mar/26 3:53 PM,,Gamma Squad,,8,Impediment,Impediment,66,PMD_25PI4_Sprint9 [ACTIVE],Must (1),AIOP-182,AIOP-1249,
[Gamma Squad] Sample work item 1309,AIOP-1309,10001309,Story,Done,AIOP,Perception & Parking SW Group,3/Mar/26 3:55 PM,13/Mar/26 3:55 PM,Gamma Squad,data-pipeline,,,,,PMD_25PI4_Sprint9 [COMPLETED] + Sprint10 [COMPLETED],Should (2),AIOP-158,,
[Gamma Squad] Sample work item 1310,AIOP-1310,10001310,Bug,Done,AIOP,Perception & Parking SW Group,12/Mar/26 5:36 PM,5/Apr/26 5:36 PM,Gamma Squad,backend,5,,,,PMD_25PI4_Sprint10 [COMPLETED] + Sprint11 [COMPLETED],Must (1),AIOP-118,,
[Gamma Squad] Sample work item 1311,AIOP-1311,10001311,Bug,Done,AIOP,Perception & Parking SW Group,11/Mar/26 4:33 PM,23/Mar/26 4:33 PM,Gamma Squad,backend,3,,,,PMD_25PI4_Sprint10 [COMPLETED] + Sprint11 [COMPLETED],Must (1),AIOP-187,,
[Gamma Squad] Sample work item 1312,AIOP-1312,10001312,Bug,Blocked,AIOP,Perception & Parking SW Group,11/Mar/26 3:22 PM,,Gamma Squad,backend,8,Impediment,,61,PMD_25PI4_Sprint10 [ACTIVE],Could (3),AIOP-193,,
[Gamma Squad] Sample work item 1313,AIOP-1313,10001313,Story,Blocked,AIOP,Perception & Parking SW Group,13/Mar/26 10:54 AM,,Gamma Squad,infra,3,Impediment,Impediment,60,PMD_25PI4_Sprint10 [ACTIVE],Must (1),AIOP-177,,
[Gamma Squad] Sample work item 1314,AIOP-1314,10001314,Task,Implementing,AIOP,Perception & Parking SW Group,11/Mar/26 10:09 AM,,Gamma Squad,,,,,62,PMD_25PI4_Sprint10 [ACTIVE],Won't (4),AIOP-130,,
[Gamma Squad] Sample work item 1315,AIOP-1315,10001315,Story,Blocked,AIOP,Perception & Parking SW Group,12/Mar/26 1:30 PM,,Gamma Squad,tech-debt,8,Impediment,Impediment,60,PMD_25PI4_Sprint10 [ACTIVE],Should (2),AIOP-167,,AIOP-1229
[Gamma Squad] Sample work item 1316,AIOP-1316,10001316,Story,Blocked,AIOP,Perception & Parking SW Group,11/Mar/26 10:16 AM,,Gamma Squad,tech-debt,8,,,62,PMD_25PI4_Sprint10 [ACTIVE],Should (2),AIOP-166,,
[Gamma Squad] Sample work item 1317,AIOP-1317,10001317,Bug,Blocked,AIOP,Perception & Parking SW Group,12/Mar/26 2:14 PM,,Gamma Squad,backend,5,Impediment,Impediment,60,PMD_25PI4_Sprint10 [ACTIVE],Should (2),AIOP-176,,
[Gamma Squad] Sample work item 1318,AIOP-1318,10001318,Story,Blocked,AIOP,Perception & Parking SW Group,16/Mar/26 4:59 PM,,Gamma Squad,tech-debt,8,,,56,PMD_25PI4_Sprint10 [ACTIVE],Could (3),AIOP-132,,AIOP-1031
[Gamma Squad] Sample work item 1319,AIOP-1319,10001319,Spike,Done,AIOP,Perception & Parking SW Group,17/Mar/26 3:11 PM,30/Mar/26 3:11 PM,Gamma Squad,data-pipeline,8,Impediment,Impediment,,PMD_25PI4_Sprint10 [COMPLETED] + Sprint11 [COMPLETED],Must (1),AIOP-156,,
[Gamma Squad] Sample work item 1320,AIOP-1320,10001320,Bug,Done,AIOP,Perception & Parking SW Group,18/Mar/26 11:44 AM,30/Mar/26 11:44 AM,Gamma Squad,backend,5,,,,PMD_25PI4_Sprint10 [COMPLETED] + Sprint11 [COMPLETED],Won't (4),AIOP-161,,
[Gamma Squad] Sample work item 1321,AIOP-1321,10001321,Bug,Done,AIOP,Perception & Parking SW Group,20/Mar/26 12:00 PM,28/Mar/26 12:00 PM,Gamma Squad,data-pipeline,,Impediment,Impediment,,PMD_25PI4_Sprint10 [COMPLETED] + Sprint11 [COMPLETED],Could (3),AIOP-151,AIOP-1046,
[Gamma Squad] Sample work item 1322,AIOP-1322,10001322,Story,Done,AIOP,Perception & Parking SW Group,19/Mar/26 1:41 PM,20/Mar/26 1:41 PM,Gamma Squad,ml,8,,,,PMD_25PI4_Sprint10 [COMPLETED],Could (3),AIOP-189,,
[Gamma Squad] Sample work item 1323,AIOP-1323,10001323,Story,To Do,AIOP,Perception & Parking SW Group,20/Mar/26 12:31 PM,,Gamma Squad,ml,5,,,52,PMD_25PI4_Sprint10 [ACTIVE],Won't (4),AIOP-102,AIOP-1028,
[Gamma Squad] Sample work item 1324,AIOP-1324,10001324,Story,Blocked,AIOP,Perception & Parking SW Group,17/Mar/26 5:29 PM,,Gamma Squad,data-pipeline,3,Impediment,Impediment,55,PMD_25PI4_Sprint10 [ACTIVE],Should (2),AIOP-162,,
[Gamma Squad] Sample work item 1325,AIOP-1325,10001325,Story,Done,AIOP,Perception & Parking SW Group,24/Mar/26 9:11 AM,19/Apr/26 9:11 AM,Gamma Squad,data-pipeline,2,Impediment,,,PMD_25PI4_Sprint11 [COMPLETED] + Sprint12 [COMPLETED],Must (1),AIOP-114,,
[Gamma Squad] Sample work item 1326,AIOP-1326,10001326,Story,Done,AIOP,Perception & Parking SW Group,27/Mar/26 5:08 PM,15/Apr/26 5:08 PM,Gamma Squad,frontend,3,Impediment,Impediment,,PMD_25PI4_Sprint11 [COMPLETED] + Sprint12 [COMPLETED],Should (2),AIOP-196,,
[Gamma Squad] Sample work item 1327,AIOP-1327,10001327,Story,Done,AIOP,Perception & Parking SW Group,27/Mar/26 3:49 PM,12/Apr/26 3:49 PM,Gamma Squad,backend,8,Impediment,,,PMD_25PI4_Sprint11 [COMPLETED] + Sprint12 [COMPLETED],Could (3),AIOP-153,,
[Gamma Squad] Sample work item 1328,AIOP-1328,10001328,Story,Done,AIOP,Perception & Parking SW Group,24/Mar/26 9:38 AM,25/Mar/26 9:38 AM,Gamma Squad,,3,,,,PMD_25PI4_Sprint11 [COMPLETED],Won't (4),AIOP-100,,
[Gamma Squad] Sample work item 1329,AIOP-1329,10001329,Spike,To Do,AIOP,Perception & Parking SW Group,27/Mar/26 2:55 PM,,Gamma Squad,ml,8,,,45,PMD_25PI4_Sprint11 [ACTIVE],Should (2),AIOP-135,AIOP-1057,
[Gamma Squad] Sample work item 1330,AIOP-1330,10001330,Bug,Done,AIOP,Perception & Parking SW Group,2/Apr/26 9:06 AM,24/Apr/26 9:06 AM,Gamma Squad,frontend,2,,,,PMD_25PI4_Sprint11 [COMPLETED] + Sprint12 [COMPLETED] + Sprint13 [COMPLETED],Must (1),AIOP-162,,AIOP-1120
[Gamma Squad] Sample work item 1331,AIOP-1331,10001331,Bug,Blocked,AIOP,Perception & Parking SW Group,1/Apr/26 3:12 PM,,Gamma Squad,backend,3,Impediment,Impediment,40,PMD_25PI4_Sprint11 [ACTIVE],Won't (4),AIOP-125,,
[Gamma Squad] Sample work item 1332,AIOP-1332,10001332,Story,Done,AIOP,Perception & Parking SW Group,31/Mar/26 2:17 PM,16/Apr/26 2:17 PM,Gamma Squad,tech-debt,5,Impediment,Impediment,,PMD_25PI4_Sprint11 [COMPLETED] + Sprint12 [COMPLETED],Must (1),AIOP-159,,
[Gamma Squad] Sample work item 1333,AIOP-1333,10001333,Story,To Do,AIOP,Perception & Parking SW Group,3/Apr/26 4:55 PM,,Gamma Squad,ml,3,,,38,PMD_25PI4_Sprint11 [ACTIVE],Won't (4),AIOP-194,,
[Gamma Squad] Sample work item 1334,AIOP-1334,10001334,Story,Funnel,AIOP,Perception & Parking SW Group,10/Apr/26 3:30 PM,,Gamma Squad,ml,5,,,31,PMD_25PI4_Sprint12 [ACTIVE],Must (1),AIOP-171,,
[Gamma Squad] Sample work item 1335,AIOP-1335,10001335,Story,Done,AIOP,Perception & Parking SW Group,8/Apr/26 11:45 AM,12/Apr/26 11:45 AM,Gamma Squad,ml,8,,,,PMD_25PI4_Sprint12 [COMPLETED],Won't (4),AIOP-123,,
[Gamma Squad] Sample work item 1336,AIOP-1336,10001336,Task,Done,AIOP,Perception & Parking SW Group,8/Apr/26 5:02 PM,22/Apr/26 5:02 PM,Gamma Squad,data-pipeline,8,,,,PMD_25PI4_Sprint12 [COMPLETED] + Sprint13 [COMPLETED],Must (1),AIOP-179,,
[Gamma Squad] Sample work item 1337,AIOP-1337,10001337,Story,Done,AIOP,Perception & Parking SW Group,10/Apr/26 9:23 AM,16/Apr/26 9:23 AM,Gamma Squad,,3,,,,PMD_25PI4_Sprint12 [COMPLETED],Could (3),AIOP-130,,
[Gamma Squad] Sample work item 1338,AIOP-1338,10001338,Bug,Done,AIOP,Perception & Parking SW Group,7/Apr/26 12:20 PM,10/Apr/26 12:20 PM,Gamma Squad,tech-debt,5,Impediment,Impediment,,PMD_25PI4_Sprint12 [COMPLETED],Could (3),AIOP-144,,
[Gamma Squad] Sample work item 1339,AIOP-1339,10001339,Story,To Do,AIOP,Perception & Parking SW Group,10/Apr/26 5:57 PM,,Gamma Squad,tech-debt,,,,31,PMD_25PI4_Sprint12 [ACTIVE],Must (1),AIOP-124,,
[Gamma Squad] Sample work item 1340,AIOP-1340,10001340,Story,Blocked,AIOP,Perception & Parking SW Group,7/Apr/26 5:40 PM,,Gamma Squad,data-pipeline,,,,34,PMD_25PI4_Sprint12 [ACTIVE],Won't (4),AIOP-144,,
[Gamma Squad] Sample work item 1341,AIOP-1341,10001341,Bug,To Do,AIOP,Perception & Parking SW Group,8/Apr/26 4:37 PM,,Gamma Squad,ml,5,,,33,PMD_25PI4_Sprint12 [ACTIVE],Should (2),AIOP-139,,
[Gamma Squad] Sample work item 1342,AIOP-1342,10001342,Bug,Done,AIOP,Perception & Parking SW Group,15/Apr/26 11:11 AM,30/Apr/26 11:11 AM,Gamma Squad,tech-debt,8,,,,PMD_25PI4_Sprint12 [COMPLETED] + Sprint13 [COMPLETED],Should (2),AIOP-130,,
[Gamma Squad] Sample work item 1343,AIOP-1343,10001343,Spike,Implementing,AIOP,Perception & Parking SW Group,14/Apr/26 2:28 PM,,Gamma Squad,backend,,,,27,PMD_25PI4_Sprint12 [ACTIVE],Won't (4),AIOP-163,,
[Gamma Squad] Sample work item 1344,AIOP-1344,10001344,Story,Done,AIOP,Perception & Parking SW Group,24/Apr/26 5:21 PM,3/May/26 5:21 PM,Gamma Squad,,,,,,PMD_25PI4_Sprint13 [COMPLETED],Should (2),AIOP-172,,
[Gamma Squad] Sample work item 1345,AIOP-1345,10001345,Bug,In Progress,AIOP,Perception & Parking SW Group,20/Apr/26 1:01 PM,,Gamma Squad,data-pipeline,8,,,21,PMD_25PI4_Sprint13 [ACTIVE],Should (2),AIOP-200,,
[Gamma Squad] Sample work item 1346,AIOP-1346,10001346,Story,Review,AIOP,Perception & Parking SW Group,24/Apr/26 5:03 PM,,Gamma Squad,tech-debt,13,,,17,PMD_25PI4_Sprint13 [ACTIVE],Could (3),AIOP-149,,
[Gamma Squad] Sample work item 1347,AIOP-1347,10001347,Story,Blocked,AIOP,Perception & Parking SW Group,23/Apr/26 3:08 PM,,Gamma Squad,frontend,3,Impediment,,18,PMD_25PI4_Sprint13 [ACTIVE],Could (3),AIOP-108,,
[Gamma Squad] Sample work item 1348,AIOP-1348,10001348,Story,Done,AIOP,Perception & Parking SW Group,24/Apr/26 11:12 AM,30/Apr/26 11:12 AM,Gamma Squad,,3,Impediment,,,PMD_25PI4_Sprint13 [COMPLETED],Won't (4),AIOP-171,,
[Gamma Squad] Sample work item 1349,AIOP-1349,10001349,Story,Funnel,AIOP,Perception & Parking SW Group,30/Apr/26 10:41 AM,,Gamma Squad,backend,2,,,12,PMD_25PI4_Sprint13 [ACTIVE],Could (3),AIOP-163,,AIOP-1185
[Gamma Squad] Sample work item 1350,AIOP-1350,10001350,Bug,Blocked,AIOP,Perception & Parking SW Group,27/Apr/26 1:10 PM,,Gamma Squad,frontend,1,Impediment,Impediment,14,PMD_25PI4_Sprint13 [ACTIVE],Could (3),AIOP-106,,
[Gamma Squad] Sample work item 1351,AIOP-1351,10001351,Bug,To Do,AIOP,Perception & Parking SW Group,28/Apr/26 10:38 AM,,Gamma Squad,infra,13,,,14,PMD_25PI4_Sprint13 [ACTIVE],Could (3),AIOP-134,,
[Gamma Squad] Sample work item 1352,AIOP-1352,10001352,Task,Implementing,AIOP,Perception & Parking SW Group,28/Apr/26 10:13 AM,,Gamma Squad,,,,,14,PMD_25PI4_Sprint13 [ACTIVE],Must (1),AIOP-153,,AIOP-1067
[Gamma Squad] Sample work item 1353,AIOP-1353,10001353,Story,Blocked,AIOP,Perception & Parking SW Group,29/Apr/26 2:08 PM,,Gamma Squad,infra,1,Impediment,,12,PMD_25PI4_Sprint13 [ACTIVE],Should (2),AIOP-116,,
